orgnavn,enhedsnummer_deltager,enhedsnummer_virksomhed,vaerdinavn,vaerdi,gyldigfra,gyldigtil,enhedstype_deltager,cvrnummer_deltager,cvrnummer_virksomhed
Reelle ejere,4004011576,4000964272,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2012-11-01,2018-01-31,PERSON,-1,17956876
Reelle ejere,4004011577,4000964272,EJERANDEL_STEMMERET_PROCENT,0.3887,2012-11-01,2018-01-31,PERSON,-1,17956876
Reelle ejere,4004011577,4000964272,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2012-11-01,2018-01-31,PERSON,-1,17956876
Reelle ejere,4004011577,4000964272,FUNKTION,Reel ejer,2012-11-01,2018-01-31,PERSON,-1,17956876
Reelle ejere,4004011577,4000964272,EJERANDEL_PROCENT,0.2925,2012-11-01,2018-01-31,PERSON,-1,17956876
Reelle ejere,4004173092,4000964272,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2018-01-31,2018-06-01,PERSON,-1,17956876
Reelle ejere,4004173092,4000964272,EJERANDEL_STEMMERET_PROCENT,0.6245,2018-01-31,2018-06-01,PERSON,-1,17956876
Reelle ejere,4004173092,4000964272,FUNKTION,Reel ejer,2018-01-31,2018-06-01,PERSON,-1,17956876
Reelle ejere,4004173092,4000964272,EJERANDEL_PROCENT,0.6245,2018-01-31,2018-06-01,PERSON,-1,17956876
Reelle ejere,4000387292,4001489233,FUNKTION,Reel ejer,2004-12-16,2200-01-01,PERSON,-1,28278799
Reelle ejere,4000387292,4001489233,EJERANDEL_PROCENT,1,2004-12-16,2200-01-01,PERSON,-1,28278799
Reelle ejere,4000387292,4001489233,EJERANDEL_STEMMERET_PROCENT,1,2004-12-16,2200-01-01,PERSON,-1,28278799
