orgnavn,enhedsnummer_deltager,enhedsnummer_virksomhed,vaerdinavn,vaerdi,gyldigfra,gyldigtil,enhedstype_deltager,cvrnummer_deltager,cvrnummer_virksomhed
Revision,5125322,2316605,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,20921099
Revision,5125322,623302,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,10775345
Revision,5125322,1995274,FUNKTION,REVISION,2011-07-15,2017-06-30,VIRKSOMHED,32895468,86668211
Revision,4000769917,1995274,FUNKTION,REVISION,2018-10-30,2200-01-01,VIRKSOMHED,33771231,86668211
Revision,4001991026,1995274,FUNKTION,REVISION,2017-06-30,2018-10-30,VIRKSOMHED,25578198,86668211
Revision,5125322,2263617,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,15108339
Revision,5125322,2762610,FUNKTION,REVISION,2015-08-01,2015-12-30,VIRKSOMHED,32895468,26439299
Revision,4751597,2762610,FUNKTION,REVISION,2015-12-30,2017-05-26,VIRKSOMHED,30700228,26439299
Revision,1756464,2762610,FUNKTION,REVISION,2011-04-18,2015-08-01,VIRKSOMHED,16839736,26439299
Revision,5125322,2961842,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,10315700
Revision,5125322,2702660,FUNKTION,REVISION,2010-11-25,2017-06-12,VIRKSOMHED,32895468,71363511
Revision,5125322,3056606,FUNKTION,REVISION,2013-08-08,2200-01-01,VIRKSOMHED,32895468,25372727
Revision,5125322,2913036,FUNKTION,REVISION,2010-09-30,2200-01-01,VIRKSOMHED,32895468,18896249
Revision,5125322,2638818,FUNKTION,REVISION,2012-12-05,2200-01-01,VIRKSOMHED,32895468,25789202
Revision,5125322,2541654,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,18576694
Revision,5125322,3090922,FUNKTION,REVISION,2010-09-29,2200-01-01,VIRKSOMHED,32895468,26368138
Revision,5125322,3045509,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,24241718
Revision,5125322,3052656,FUNKTION,REVISION,2017-07-12,2200-01-01,VIRKSOMHED,32895468,24211282
Revision,2830731,3052656,FUNKTION,REVISION,2014-08-12,2017-07-12,VIRKSOMHED,26593093,24211282
Revision,3263454,3052656,FUNKTION,REVISION,1999-06-28,2014-08-12,VIRKSOMHED,15657677,24211282
Revision,5125322,2648186,FUNKTION,REVISION,2010-09-13,2017-10-11,VIRKSOMHED,32895468,26017297
Revision,4000769917,2648186,FUNKTION,REVISION,2017-10-11,2200-01-01,VIRKSOMHED,33771231,26017297
Revision,5125322,2715291,FUNKTION,REVISION,2010-10-15,2018-07-19,VIRKSOMHED,32895468,12700377
Revision,5125322,2743945,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,10050960
Revision,5125322,2362600,FUNKTION,REVISION,2010-09-29,2200-01-01,VIRKSOMHED,32895468,10367735
Revision,5125322,2965130,FUNKTION,REVISION,2010-10-07,2200-01-01,VIRKSOMHED,32895468,26256887
Revision,5125322,2402954,FUNKTION,REVISION,2017-12-01,2200-01-01,VIRKSOMHED,32895468,20002603
Revision,4751597,2402954,FUNKTION,REVISION,2010-04-01,2017-05-18,VIRKSOMHED,30700228,20002603
Revision,5950390,2402954,FUNKTION,REVISION,2017-05-18,2017-12-01,VIRKSOMHED,35257691,20002603
Revision,5125322,2870307,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,44883112
Revision,5125322,2391354,FUNKTION,REVISION,2013-11-01,2200-01-01,VIRKSOMHED,32895468,53686214
Revision,5125322,2467583,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,21836249
Revision,4000769902,2467583,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,21836249
Revision,5125322,2735684,FUNKTION,REVISION,2016-05-01,2018-05-08,VIRKSOMHED,32895468,79070718
Revision,4000769902,2735684,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,79070718
Revision,4679118,2735684,FUNKTION,REVISION,2018-05-08,2200-01-01,VIRKSOMHED,31824559,79070718
Revision,5125322,2819930,FUNKTION,REVISION,2017-08-01,2200-01-01,VIRKSOMHED,32895468,26623898
Revision,5651072,2819930,FUNKTION,REVISION,2011-10-13,2017-08-01,VIRKSOMHED,33963556,26623898
Revision,5125322,2757312,FUNKTION,REVISION,2010-10-01,2200-01-01,VIRKSOMHED,32895468,56366717
Revision,5125322,2947171,FUNKTION,REVISION,2013-07-01,2015-01-12,VIRKSOMHED,32895468,26322162
Revision,5125322,2571355,FUNKTION,REVISION,2010-10-14,2200-01-01,VIRKSOMHED,32895468,25734793
Revision,5125322,3012444,FUNKTION,REVISION,2018-09-07,2200-01-01,VIRKSOMHED,32895468,27253857
Revision,5651072,3012444,FUNKTION,REVISION,2011-10-13,2018-09-07,VIRKSOMHED,33963556,27253857
Revision,5125322,2994368,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,15538201
Revision,5125322,2824926,FUNKTION,REVISION,2016-05-18,2200-01-01,VIRKSOMHED,32895468,26605881
Revision,5766347,2824926,FUNKTION,REVISION,2013-01-16,2016-05-18,VIRKSOMHED,34713022,26605881
Revision,5125322,2838501,FUNKTION,REVISION,2010-10-18,2200-01-01,VIRKSOMHED,32895468,82447016
Revision,5125322,2727798,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,64027328
Revision,5125322,2758816,FUNKTION,REVISION,2019-03-29,2200-01-01,VIRKSOMHED,32895468,26426189
Revision,2165320,2758816,FUNKTION,REVISION,2010-01-27,2019-03-29,VIRKSOMHED,20222670,26426189
Revision,5125322,2728561,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,61729615
Revision,5766347,2728561,FUNKTION,REVISION,2013-02-28,2016-05-01,VIRKSOMHED,34713022,61729615
Revision,5125322,2515652,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,73623316
Revision,5125322,2886141,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,73528712
Revision,5766347,2886141,FUNKTION,REVISION,2013-01-23,2016-05-01,VIRKSOMHED,34713022,73528712
Revision,5125322,2934023,FUNKTION,REVISION,2010-10-20,2200-01-01,VIRKSOMHED,32895468,14346902
Revision,5125322,2934018,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,64432818
Revision,5125322,3006495,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,42737615
Revision,5766347,3006495,FUNKTION,REVISION,2013-02-28,2016-05-01,VIRKSOMHED,34713022,42737615
Revision,5125322,2680509,FUNKTION,REVISION,2014-11-24,2200-01-01,VIRKSOMHED,32895468,24242706
Revision,328597,2680509,FUNKTION,REVISION,2013-07-01,2014-11-24,VIRKSOMHED,25492145,24242706
Revision,5125322,3046581,FUNKTION,REVISION,2010-09-29,2016-10-12,VIRKSOMHED,32895468,79164828
Revision,5538780,3046581,FUNKTION,REVISION,2016-10-12,2200-01-01,VIRKSOMHED,34209936,79164828
Revision,5125322,2689265,FUNKTION,REVISION,2010-10-22,2200-01-01,VIRKSOMHED,32895468,11918786
